customer_id,last_purchase_date,first_purchase_date,transaction_count,total_orders,monetary,total_items_purchased,customer_name,recency_days,frequency,avg_order_value,customer_age_days,r_score,f_score,m_score,rfm_score,rfm_score_numeric,segment,recommended_action,segment_priority
10050,2024-09-07 00:00:00,2024-09-07 00:00:00,1,3,100045365.0,9,PT. Sistelindo Mitralintas,460,3,33348455.0,0,3,3,4,334,10,Loyal Customers,Upsell higher value products. Engage them.,9.0
101,2025-07-08 00:00:00,2023-11-12 00:00:00,21,11,2006847906.0,551,PT. Bhakti Unggul Teknovasi,156,11,182440718.7272727,604,4,5,5,455,14,Champions,Reward them. Can be early adopters for new products.,10.0
10100,2025-03-10 00:00:00,2025-03-10 00:00:00,2,3,12846000.0,9,PT. Svarakom Solusi Teknologi,276,3,4282000.0,0,4,3,2,432,9,Potential Loyalist,Offer membership/loyalty program. Recommend other products.,6.0
10150,,,0,2,110600000.0,4,PT. Indocom Niaga,9999,2,55300000.0,0,2,3,4,234,9,At Risk,Send personalized emails. Offer renewals and helpful products.,7.0
102,2025-03-02 00:00:00,2023-03-11 00:00:00,16,11,114642790.0,102,PT. Jaya Kartha Solusindo,284,11,10422071.81818182,722,4,5,4,454,13,Champions,Reward them. Can be early adopters for new products.,10.0
10200,2024-12-08 00:00:00,2024-12-08 00:00:00,1,5,182589742.0,123,PT. Manunggal Integrasi Sejahtera,368,5,36517948.4,0,3,4,4,344,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
10250,2025-01-07 00:00:00,2025-01-07 00:00:00,2,2,972480000.0,2774,PT. Mega Akses Persada,338,2,486240000.0,0,3,3,5,335,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
10300,,,0,1,81830000.0,34,Dionisius Dixon T,9999,1,81830000.0,0,2,1,4,214,7,Other,,
10350,,,0,1,160000.0,2,PT. Trimesta Teknologi Indonesia,9999,1,160000.0,0,2,1,1,211,4,About To Sleep,Share valuable resources. Recommend popular products.,2.0
10450,,,0,1,1263500.0,7,PT. Abdi Jaya Integra,9999,1,1263500.0,0,2,1,1,211,4,About To Sleep,Share valuable resources. Recommend popular products.,2.0
1050,2023-09-11 00:00:00,2023-09-11 00:00:00,2,2,47613691.0,10,PT. Kawani Pratama Karya,822,2,23806845.5,0,2,3,3,233,8,Need Attention,Make limited time offers. Recommend based on purchase history.,5.0
10500,,,0,1,9250000.0,5,PT. Netsolution,9999,1,9250000.0,0,2,1,2,212,5,About To Sleep,Share valuable resources. Recommend popular products.,2.0
10501,2025-12-02 00:00:00,2024-04-07 00:00:00,12,12,333710000.0,169,PT. Pilar Utama Solusindo,9,12,27809166.66666667,604,5,5,5,555,15,Champions,Reward them. Can be early adopters for new products.,10.0
1051,2023-09-11 00:00:00,2023-09-11 00:00:00,1,1,127000000.0,1,PT. One Hundred Percent Production,822,1,127000000.0,0,2,1,4,214,7,Other,,
1052,,,0,1,85785600.0,60,PT. Sinar Alam Abadi,9999,1,85785600.0,0,2,1,4,214,7,Other,,
10550,,,0,1,4500000.0,2,PT. Adua Teknologi Elektrik,9999,1,4500000.0,0,2,1,1,211,4,About To Sleep,Share valuable resources. Recommend popular products.,2.0
10600,2024-06-09 00:00:00,2024-02-07 00:00:00,6,6,63774698.0,59,PT. Pucuk Mas Jaya,550,6,10629116.33333333,123,3,4,4,344,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
10650,,,0,1,69000000.0,50,PT. Solid Sapta Grup,9999,1,69000000.0,0,2,1,4,214,7,Other,,
10700,2024-03-07 00:00:00,2024-03-07 00:00:00,1,1,52800000.0,33,PT. Mega Buana Teknologi,644,1,52800000.0,0,3,1,3,313,7,Other,,
10750,2025-11-11 00:00:00,2024-03-07 00:00:00,6,8,20169000.0,10,PT. Pantero Selaras Agung,30,8,2521125.0,614,5,5,3,553,13,Loyal Customers,Upsell higher value products. Engage them.,9.0
10800,2025-10-07 00:00:00,2024-08-07 00:00:00,3,2,678463763.0,3,PT. Dua Inti Sinergy,65,2,339231881.5,426,5,3,5,535,13,Loyal Customers,Upsell higher value products. Engage them.,9.0
10801,2024-08-07 00:00:00,2024-08-07 00:00:00,2,1,217879798.0,2,PT. Reksa Data Jogja,491,1,217879798.0,0,3,1,5,315,9,Other,,
10850,2024-08-07 00:00:00,2024-04-10 00:00:00,2,3,22156200.0,11,PT. Jaya Otomasi Solusindo (Javatech),491,3,7385400.0,119,3,3,3,333,9,Loyal Customers,Upsell higher value products. Engage them.,9.0
10851,2025-07-07 00:00:00,2024-05-07 00:00:00,3,3,39125000.0,26,PT. Putra Salim Technology,157,3,13041666.66666667,426,4,3,3,433,10,Loyal Customers,Upsell higher value products. Engage them.,9.0
10950,2024-08-07 00:00:00,2024-08-07 00:00:00,4,3,43152280.0,27,PT. Lima Menara Bintang,491,3,14384093.33333333,0,3,3,3,333,9,Loyal Customers,Upsell higher value products. Engage them.,9.0
10951,2025-11-03 00:00:00,2024-10-07 00:00:00,3,2,4101000.0,7,CV. Semesta Pratama,38,2,2050500.0,392,5,3,1,531,9,Other,,
10952,2024-10-07 00:00:00,2024-10-07 00:00:00,1,1,17900000.0,1,PT. Trees Solutions,430,1,17900000.0,0,3,1,3,313,7,Other,,
11000,2025-10-09 00:00:00,2025-05-12 00:00:00,2,3,48923832.0,3,PT. Abdi Insan Semesta,63,3,16307944.0,150,5,3,3,533,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
11001,2025-02-01 00:00:00,2024-06-12 00:00:00,8,10,26751000.0,64,PT. Global Media Data Prima,313,10,2675100.0,234,3,5,3,353,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
1103,2025-10-09 00:00:00,2023-09-11 00:00:00,19,11,396534000.0,166,PT. Milenial Inti Telekomunikasi,63,11,36048545.45454545,759,5,5,5,555,15,Champions,Reward them. Can be early adopters for new products.,10.0
11100,2025-04-08 00:00:00,2024-10-09 00:00:00,7,12,121071223.0,59,PT. Solusi Integrator Teknologi,247,12,10089268.58333333,181,4,5,4,454,13,Champions,Reward them. Can be early adopters for new products.,10.0
11101,2025-10-09 00:00:00,2024-04-09 00:00:00,3,4,32186000.0,17,PT. Wowrack Cepat Teknologi Nusantara,63,4,8046500.0,548,5,4,3,543,12,Loyal Customers,Upsell higher value products. Engage them.,9.0
11200,,,0,4,89133728.0,5,PT. Mitra Infotech Prima,9999,4,22283432.0,0,2,4,4,244,10,At Risk,Send personalized emails. Offer renewals and helpful products.,7.0
11250,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,1298500.0,1,PT. Sagitta Indonesia,399,1,1298500.0,0,3,1,1,311,5,Promising,Create brand awareness. Offer free trials.,3.0
11300,,,0,1,46420000.0,100,CV. Bengawan Teknologi Solusindo,9999,1,46420000.0,0,2,1,3,213,6,Other,,
11301,2024-02-08 00:00:00,2024-02-08 00:00:00,1,4,47141556.0,70,PT. Semua Aplikasi Indonesia,672,4,11785389.0,0,2,4,3,243,9,At Risk,Send personalized emails. Offer renewals and helpful products.,7.0
11350,,,0,4,8000000.0,8,CV. Nowenibra,9999,4,2000000.0,0,2,4,2,242,8,Other,,
11450,,,0,3,38577678.0,9,PT. Tunggal Opti Persada,9999,3,12859226.0,0,2,3,3,233,8,Need Attention,Make limited time offers. Recommend based on purchase history.,5.0
1150,,,0,4,205500000.0,29,PT. Solusi Teknologi Abadi,9999,4,51375000.0,0,2,4,4,244,10,At Risk,Send personalized emails. Offer renewals and helpful products.,7.0
11500,2025-03-02 00:00:00,2024-09-12 00:00:00,21,2,24759000000.0,346,Ellipse Projects SAS,284,2,12379500000.0,171,3,3,5,335,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
1152,2023-10-11 00:00:00,2023-10-11 00:00:00,2,1,73000000.0,2,PT. Global Giga Solusi,792,1,73000000.0,0,2,1,4,214,7,Other,,
