segment,customer_count,avg_recency_days,avg_frequency,total_revenue,avg_monetary,customer_pct,revenue_pct
Champions,154,90.79,21.92,156670286097.86,1017339520.12,18.9,57.2
Loyal Customers,158,333.77,5.34,72325027932.63,457753341.35,19.4,26.4
At Risk,52,8749.96,2.98,17591117457.12,338290720.33,6.4,6.4
Potential Loyalist,55,147.85,2.09,1113334685.97,20242448.84,6.8,0.4
Need Attention,35,5771.97,1.74,818971010.0,23399171.71,4.3,0.3
Recent Customers,32,154.59,1.0,134633345.43,4207292.04,3.9,0.0
Promising,28,462.75,1.0,128741893.8,4597924.78,3.4,0.0
About To Sleep,59,9214.73,1.0,313641147.47,5315951.65,7.2,0.1
Hibernating,77,9999.0,1.0,457022081.41,5935351.71,9.5,0.2
Other,164,6138.18,1.74,24134896504.69,147164003.08,20.1,8.8
