customer_id,avg_days_between_purchases,purchase_consistency,days_since_first_purchase,purchase_span_days,unique_products_bought,unique_categories_bought,preferred_category,category_concentration,product_diversity_level,avg_transaction_value,transaction_value_std,min_transaction_value,max_transaction_value,total_spending,transaction_count,spending_volatility,spending_trend,trend_direction,engagement_score,loyalty_indicator
50,,0.0,243.0,-579.0,63,,,,High,7321792.275225225,9400101.048157416,617117.19,76300000.0,812718942.55,111,1.284,-0.064,Stable,66.35,Medium
51,,0.0,944.0,,14,,,,High,12735097.90047619,13926092.648474688,1525542.857142857,46500000.0,191026468.50714284,15,1.094,-0.86,Declining,57.54,Medium
101,,0.0,156.0,,43,,,,High,43627128.39130435,59891096.83169483,0.0,334729157.84,2006847906.0,46,1.373,0.754,Growing,67.72,Medium
102,,0.0,,,12,,,,High,4409338.076923077,3765053.4880779786,910000.0,14640000.0,114642790.0,26,0.854,0.155,Growing,54.19,Medium
150,,0.0,,,43,,,,High,28748815.099402986,48681823.5138667,0.0,250800000.0,1926170611.66,67,1.693,0.178,Growing,67.52,Medium
151,,1.0,,,23,,,,High,341254784.87899995,522528269.6583452,0.0,2371578951.87,10237643546.369999,30,1.531,0.139,Growing,97.94,High
152,,,,,7,,,,Medium,5732843.375,8637623.156096771,649484.0,26448000.0,45862747.0,8,1.507,1.155,Growing,43.76,Medium
200,,0.0,,,36,,,,High,3100173.4897333332,2437013.3928663055,257656.0,11400000.0,232513011.73,75,0.786,0.224,Growing,61.06,Medium
201,,1.0,,,3,,,,Low,28910500.0,31587969.49789587,7506000.0,75660000.0,115642000.0,4,1.093,-0.791,Declining,72.83,High
204,,,,,2,,,,Low,1857600.0,904530.9944938316,1218000.0,2497200.0,3715200.0,2,0.487,1.05,Growing,15.87,Medium
205,,0.0,,,10,,,,Medium,5312525.545454546,6211224.5457343,640000.0,22680000.0,58437781.0,11,1.169,1.317,Growing,48.21,Medium
252,,,1006.0,0.0,1,,,,Low,8350000.0,0.0,8350000.0,8350000.0,8350000.0,1,0.0,0.0,Stable,14.34,Low
300,,,,0.0,1,,,,Low,3550000.0,0.0,3550000.0,3550000.0,3550000.0,1,0.0,0.0,Stable,9.53,Low
305,,,,0.0,1,,,,Low,710000.0,0.0,710000.0,710000.0,710000.0,1,0.0,0.0,Stable,4.47,Low
310,,0.0,60.0,,40,,,,High,3426046.6073338776,3212920.9434447596,284163.0,21080000.0,428255825.9167347,125,0.938,-0.016,Stable,63.62,Medium
311,,0.0,154.0,,42,,,,High,19778624.386896554,34013751.608690046,489510.0,161927640.0,1720740321.66,87,1.72,-0.453,Declining,67.24,Medium
314,,0.0,,,16,,,,High,24940126.34920635,61848509.279612035,230000.0,489800000.0,1571227960.0,63,2.48,-0.603,Declining,64.61,Medium
