id,name,customer_no,category_id,category_name,email,phone,city
17700,A Danny Hari Saputra,A-0062,,,,,
25601,AVSystem sp. z o.o.,Z-0005,,,,,
4050,Adhinata Kurniawan,A-0021,,,,,
500,Adi Hendera,A-0010,,,,,
6701,Adi Prasetya,A-0031,,,,,
15300,Agusman,A-0055,,,,,
8700,Aldilah Ilham,A-0039,,,,,
4600,Antonius Sukanto,A-0023,,,,,
7200,Aprilliani Prissilla Halim,A-0035,,,,,
7001,Arfani Abdullah,A-0032,,,,,
14951,Ari Gustian,A-0052,,,,,
202,Arvin,A-0001,,,,,
17600,Ary Prasetyo,A-0061,,,,,
29550,Bali Yoni Saguna,B-0043,,,,,
18200,Bambang Triyantono,B-0027,,,,,
103,Bhakti Prio Sejati,B-0010,,,,,
29250,CV Esa Projector,E-0022,,,,,
29800,CV Mandala Sukses,M-0095,,,,,
20053,CV Total Secure Solution,T-0035,,,,,
911,CV. Adhi Karya Utama,A-0012,,,,082351410778,
2400,CV. Adhitya Sukses Abadi,A-0014,,,,0711-811826,
2700,CV. Agra Techno Solusindo,A-0015,,,,081270876401,
22401,CV. Agung Artatek,A-0069,,,,,
1200,CV. Alden Technology,A-0013,,,,031-99141230,
7100,CV. Alzam Mitra Infonet,A-0034,,,,,
9250,CV. Angkasa Baru,A-0042,,,,,
25300,CV. Animo Restu Semesta,A-0078,,,,,
7050,CV. Anugrah Pratama,A-0033,,,,,
12000,CV. Arta Langgeng,A-0046,,,,,
26651,CV. Artha Prima Abadi,A-0085,,,,,
14850,CV. Bakti Abadi,B-0024,,,,,
312,CV. Basscom Multi Tehnik,B-0001,,,bassiscom@gmail.com,085781550448,
51,CV. Belnic Group,B-0002,,,b3lnic@yahoo.com,085624100100,
11300,CV. Bengawan Teknologi Solusindo,B-0021,,,,,
3251,CV. Berkah Arizky Sejahtera (BAS),B-0014,,,berkah.asejahtera@gmail.com,081219661922 / 085894228253,
20600,CV. Berkawan Engineering,B-0029,,,,,
3901,CV. Bintang Karya Nusantara,B-0015,,,,031-99860941,
15601,CV. Cahaya Mustika,C-0019,,,,,
4100,CV. Cakra Solusi Infotek,C-0008,,,,,
20100,CV. Computa,C-0021,,,,,
23201,CV. Connect Computer Network,C-0028,,,,,
3300,CV. Daruri Berkah Abadi,D-0012,,,,021-53135600,
4501,CV. Defari Multi Karya,D-0015,,,,,
14500,CV. Deltakod Piranti Teknologi,D-0030,,,,,
18800,CV. Deris Utama,D-0041,,,,,
13751,CV. Dwijaya Makmur,D-0028,,,,,
13200,CV. Eltekindo,E-0014,,,,,
11750,CV. Ericova Project Indonusa,E-0013,,,,,
1301,CV. Finest Anugerah,F-0003,,,,085252354828,
1950,CV. Fortuna Argatech,F-0005,,,,085313747134,
339,CV. Gelora Perkasa Elektronik,G-0001,,,info@geloraperkasa.com,082147554425,
13950,CV. Gerbang Digital Anak Bangsa,G-0017,,,,,
