antecedent_items,consequent_items,support,confidence,lift,support_count,lift_category
23080128. IHC Digital Conferen,02170477.HWA-01ideashare Key,0.01419068736141907,1.0,70.46875,32,Strong
02170477.HWA-01ideashare Key,23080128. IHC Digital Conferen,0.01419068736141907,1.0,70.46875,32,Strong
21156005. WB1M0BRACKET01Wall M,02170477.HWA-01ideashare Key,0.01108647450110865,1.0,70.46875,25,Strong
02170477.HWA-01ideashare Key,21156005. WB1M0BRACKET01Wall M,0.01108647450110865,0.7812500000000001,70.46875,25,Strong
21156005. WB1M0BRACKET01Wall M,23080128. IHC Digital Conferen,0.01108647450110865,1.0,70.46875,25,Strong
23080128. IHC Digital Conferen,21156005. WB1M0BRACKET01Wall M,0.01108647450110865,0.7812500000000001,70.46875,25,Strong
21156005. WB1M0BRACKET01Wall M,23080128. IHC Digital Conferen + 02170477.HWA-01ideashare Key,0.01108647450110865,1.0,70.46875,25,Strong
23080128. IHC Digital Conferen,21156005. WB1M0BRACKET01Wall M + 02170477.HWA-01ideashare Key,0.01108647450110865,0.7812500000000001,70.46875,25,Strong
02170477.HWA-01ideashare Key,21156005. WB1M0BRACKET01Wall M + 23080128. IHC Digital Conferen,0.01108647450110865,0.7812500000000001,70.46875,25,Strong
21156005. WB1M0BRACKET01Wall M + 23080128. IHC Digital Conferen,02170477.HWA-01ideashare Key,0.01108647450110865,1.0,70.46875,25,Strong
21156005. WB1M0BRACKET01Wall M + 02170477.HWA-01ideashare Key,23080128. IHC Digital Conferen,0.01108647450110865,1.0,70.46875,25,Strong
23080128. IHC Digital Conferen + 02170477.HWA-01ideashare Key,21156005. WB1M0BRACKET01Wall M,0.01108647450110865,0.7812500000000001,70.46875,25,Strong
RG-EW1200G-PRO,RG-EW1200,0.02660753880266075,0.48,12.3,60,Strong
RG-EW1200,RG-EW1200G-PRO,0.02660753880266075,0.6818181818181818,12.3,60,Strong
RG-EW300N,RG-EW1200G-PRO,0.01108647450110865,0.4545454545454546,8.200000000000001,25,Strong
RG-POE-AF15,RG-RAP2200(F),0.01729490022172949,0.3979591836734694,7.179183673469389,39,Strong
RG-RAP2200(F),RG-POE-AF15,0.01729490022172949,0.312,7.179183673469388,39,Strong
RG-AP720-L,RG-E120(GE),0.02039911308203991,0.3622047244094488,5.303712035995501,46,Strong
RG-ES220GS-P,RG-ES209GC-P,0.01108647450110865,0.3846153846153846,5.256410256410257,25,Strong
RG-AP820-L(V3),RG-E130(GE),0.03725055432372506,0.3400809716599191,3.87314439946019,84,Strong
RG-E130(GE),RG-AP820-L(V3),0.03725055432372506,0.4242424242424243,3.87314439946019,84,Strong
