antecedents,consequents,support,confidence,lift,antecedent support,consequent support,leverage,conviction,rule_str
"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;",S012005 EU Plug Power Supply,0.007352941176470588,1.0,107.36842105263158,0.007352941176470588,0.009313725490196078,0.007284457900807382,inf,"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz; -> S012005 EU Plug Power Supply"
S012005 EU Plug Power Supply,"A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi",0.006862745098039216,0.7368421052631579,107.36842105263158,0.009313725490196078,0.006862745098039216,0.006798827374086889,3.7739215686274505,"S012005 EU Plug Power Supply -> A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi"
S012005 EU Plug Power Supply,"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;",0.007352941176470588,0.7894736842105263,107.36842105263158,0.009313725490196078,0.007352941176470588,0.007284457900807382,4.715073529411765,"S012005 EU Plug Power Supply -> A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;"
"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, E003203 Wifi",S012005 EU Plug Power Supply,0.006862745098039216,1.0,107.36842105263158,0.006862745098039216,0.009313725490196078,0.006798827374086889,inf,"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, E003203 Wifi -> S012005 EU Plug Power Supply"
"E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, S012005 EU Plug Power Supply","A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi",0.006862745098039216,0.7368421052631579,107.36842105263158,0.009313725490196078,0.006862745098039216,0.006798827374086889,3.7739215686274505,"E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, S012005 EU Plug Power Supply -> A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi"
S012005 EU Plug Power Supply,"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, E003203 Wifi",0.006862745098039216,0.7368421052631579,107.36842105263158,0.009313725490196078,0.006862745098039216,0.006798827374086889,3.7739215686274505,"S012005 EU Plug Power Supply -> A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, E003203 Wifi"
"A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi",S012005 EU Plug Power Supply,0.006862745098039216,1.0,107.36842105263158,0.006862745098039216,0.009313725490196078,0.006798827374086889,inf,"A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi -> S012005 EU Plug Power Supply"
"A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi","E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, S012005 EU Plug Power Supply",0.006862745098039216,1.0,107.36842105263158,0.006862745098039216,0.009313725490196078,0.006798827374086889,inf,"A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi -> E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, S012005 EU Plug Power Supply"
"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;","E003203 Wifi, S012005 EU Plug Power Supply",0.006862745098039216,0.9333333333333333,105.77777777777779,0.007352941176470588,0.008823529411764706,0.0067978662053056515,14.867647058823533,"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz; -> E003203 Wifi, S012005 EU Plug Power Supply"
"E003203 Wifi, S012005 EU Plug Power Supply","A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;",0.006862745098039216,0.7777777777777777,105.77777777777777,0.008823529411764706,0.007352941176470588,0.0067978662053056515,4.4669117647058805,"E003203 Wifi, S012005 EU Plug Power Supply -> A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;"
"E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;","A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi",0.006862745098039216,0.6363636363636364,92.72727272727273,0.010784313725490196,0.006862745098039216,0.006788735101883891,2.731127450980392,"E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz; -> A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi"
"E003203 Wifi, S012005 EU Plug Power Supply","E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;",0.008823529411764706,1.0,92.72727272727273,0.008823529411764706,0.010784313725490196,0.008728373702422146,inf,"E003203 Wifi, S012005 EU Plug Power Supply -> E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;"
