product,top_recommendation,top_lift,top_confidence,total_cross_sell_options,recommendations,product_name,total_revenue,revenue_contribution_pct
S012005 EU Plug Power Supply,E003203 Wifi,107.36842105263158,0.7368421052631579,3,"E003203 Wifi, A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;",S012005 EU Plug Power Supply,0.0,0.0
A004700714. B048703. R1510-4L_EC25-AU.,S012005 EU Plug Power Supply,107.36842105263158,1.0,3,"S012005 EU Plug Power Supply, E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, E003203 Wifi",A004700714. B048703. R1510-4L_EC25-AU.,1122352860.0,0.4100852812101579
"E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;",S012005 EU Plug Power Supply,107.36842105263158,1.0,3,"S012005 EU Plug Power Supply, E003203 Wifi, A004700714. B048703. R1510-4L_EC25-AU.","E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;",0.0,0.0
E003203 Wifi,S012005 EU Plug Power Supply,107.36842105263158,1.0,3,"S012005 EU Plug Power Supply, E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, A004700714. B048703. R1510-4L_EC25-AU.",E003203 Wifi,0.0,0.0
"23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL",02170477.HWA-01ideashare Key,81.60000000000001,0.44000000000000006,4,"02170477.HWA-01ideashare Key, 55150693. IHB2-86SUHUAWEI-IdeaHub Board 2, IHB2-86SU, Intelligent Collaboration Device 86-inch infrared screen, jade white,overseas., 21156005. WB1M0BRACKET01Wall Mount Bracket., 21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches )","23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL",27068090.90909091,0.0098901388929295
02170477.HWA-01ideashare Key,"55150693. IHB2-86SUHUAWEI-IdeaHub Board 2, IHB2-86SU, Intelligent Collaboration Device 86-inch infrared screen, jade white,overseas.",81.60000000000001,0.44000000000000006,4,"55150693. IHB2-86SUHUAWEI-IdeaHub Board 2, IHB2-86SU, Intelligent Collaboration Device 86-inch infrared screen, jade white,overseas., 23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL, 21156005. WB1M0BRACKET01Wall Mount Bracket., 21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches )",02170477.HWA-01ideashare Key,137741409.0909091,0.050327955221969
21156005. WB1M0BRACKET01Wall Mount Bracket.,"55150693. IHB2-86SUHUAWEI-IdeaHub Board 2, IHB2-86SU, Intelligent Collaboration Device 86-inch infrared screen, jade white,overseas.",81.60000000000001,0.44000000000000006,4,"55150693. IHB2-86SUHUAWEI-IdeaHub Board 2, IHB2-86SU, Intelligent Collaboration Device 86-inch infrared screen, jade white,overseas., 23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL, 02170477.HWA-01ideashare Key, 21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches )",21156005. WB1M0BRACKET01Wall Mount Bracket.,49548750.0,0.0181041219758301
"55150693. IHB2-86SUHUAWEI-IdeaHub Board 2, IHB2-86SU, Intelligent Collaboration Device 86-inch infrared screen, jade white,overseas.",21156005. WB1M0BRACKET01Wall Mount Bracket.,81.6,1.0,3,"21156005. WB1M0BRACKET01Wall Mount Bracket., 23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL, 02170477.HWA-01ideashare Key","55150693. IHB2-86SUHUAWEI-IdeaHub Board 2, IHB2-86SU, Intelligent Collaboration Device 86-inch infrared screen, jade white,overseas.",3047900000.0,1.113641683597118
21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches ),21156005. WB1M0BRACKET01Wall Mount Bracket.,77.52,0.95,3,"21156005. WB1M0BRACKET01Wall Mount Bracket., 23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL, 02170477.HWA-01ideashare Key",21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches ),167096250.0,0.0610536268160913
ER7212PC,EAP620HD(US),50.132325141776946,0.5652173913043479,1,EAP620HD(US),ER7212PC,102895000.0,0.0375957744787314
ER7212PC,EAP620HD(US),50.132325141776946,0.5652173913043479,1,EAP620HD(US),ER7212PC,79682300.0,0.0291143182928871
EAP620HD(US),ER7212PC,50.132325141776946,0.5652173913043479,2,"ER7212PC, ER7212PC",EAP620HD(US),368748490.0,0.1347333210497375
RG-EW1300G,RG-EW300N,17.73913043478261,0.47826086956521746,2,"RG-EW300N, RG-EW1200G-PRO",RG-EW1300G,131551865.1,0.0480664196759424
RG-ES108GD,RG-EW1200G-PRO,16.32,1.0,2,"RG-EW1200G-PRO, RG-EW1200",RG-ES108GD,100779643.49,0.0368228655298798
RG-EW1200,RG-EW1200G-PRO,16.32,1.0,3,"RG-EW1200G-PRO, RG-EW300N, RG-RAP2200E",RG-EW1200,1418266432.601712,0.5182061805806782
RG-EW300N,RG-EW1200,15.763636363636365,0.68,2,"RG-EW1200, RG-EW1200G-PRO",RG-EW300N,250881480.1,0.0916670736841434
RG-EW1200G-PRO,RG-EW1200,15.763636363636365,0.68,3,"RG-EW1200, RG-EW300N, RG-RAP2200E",RG-EW1200G-PRO,2414197145.2,0.8820993383365214
RG-RAP2200(F),RG-EW1200G-PRO,14.960000000000004,0.9166666666666669,3,"RG-EW1200G-PRO, RG-EW1200, RG-POE-AF15",RG-RAP2200(F),2208856474.6,0.8070719653525176
RG-ES218GC-P,RG-ES226GC-P,10.394021739130435,0.234375,2,"RG-ES226GC-P, RG-ES209GC-P",RG-ES218GC-P,463518540.47,0.1693604015182551
RG-ES226GC-P,RG-ES218GC-P,10.394021739130435,0.32608695652173914,2,"RG-ES218GC-P, RG-RAP2260(G)",RG-ES226GC-P,681045697.87,0.2488404729756622
RG-RAP2200E,RG-EW1200,10.303030303030303,0.4444444444444444,3,"RG-EW1200, RG-EW1200G-PRO, RG-E120(GE)",RG-RAP2200E,3415584039.44,1.24798607570767
RG-NBS3100-8GT2SFP-P V2,RG-NBS3100-24GT4SFP-P V2,8.817536276628587,0.3414634146341463,1,RG-NBS3100-24GT4SFP-P V2,RG-NBS3100-8GT2SFP-P V2,368908872.16,0.1347919214823899
XG-SFP-SR-MM850,XG-SFP-LR-SM1310,7.391304347826087,0.23913043478260873,2,"XG-SFP-LR-SM1310, XG-SFP-LR-SM1310",XG-SFP-SR-MM850,443705175.4885714,0.1621209943409716
XG-SFP-SR-MM850,XG-SFP-LR-SM1310,7.391304347826087,0.23913043478260873,2,"XG-SFP-LR-SM1310, XG-SFP-LR-SM1310",XG-SFP-SR-MM850,379553306.0,0.1386811846545792
RG-POE-AF15,RG-RAP2200(F),6.494693877551021,0.3979591836734694,1,RG-RAP2200(F),RG-POE-AF15,388932590.6823424,0.1421081876351824
RG-EG105GW (T),RG-EW1200G-PRO,6.429090909090908,0.39393939393939387,1,RG-EW1200G-PRO,RG-EG105GW (T),500900529.6496226,0.1830190324989973
RG-AP180,RG-AP820-L(V3),5.386375638091885,0.6521739130434783,1,RG-AP820-L(V3),RG-AP180,1322147521.236667,0.4830862533264732
RG-RAP6262(G),RG-POE-AT30,5.299356754082137,0.2441860465116279,2,"RG-POE-AT30, RG-RAP2260(G)",RG-RAP6262(G),3419436338.076939,1.249393628560374
RG-POE-AT30,RG-RAP6262(G),5.299356754082137,0.22340425531914893,2,"RG-RAP6262(G), RG-RAP2260(G)",RG-POE-AT30,578120193.5534513,0.2112335528299344
RG-ES228GS-P,RG-ES209GC-P,4.87052341597796,0.39393939393939387,1,RG-ES209GC-P,RG-ES228GS-P,438009072.0,0.1600397520827098
RG-AP720-L,RG-E120(GE),4.798036609060231,0.3622047244094488,1,RG-E120(GE),RG-AP720-L,4612922935.959435,1.685469754488542
RG-E120(GE),RG-AP720-L,4.798036609060231,0.29870129870129875,2,"RG-AP720-L, RG-RAP2200E",RG-E120(GE),937088388.67,0.3423933497942088
RG-ES220GS-P,RG-ES209GC-P,4.755244755244755,0.38461538461538464,3,"RG-ES209GC-P, RG-RAP2260(G), RG-AP820-L(V3)",RG-ES220GS-P,636003316.51,0.2323828879463063
RG-WS6008,RG-AP820-L(V3),3.950008801267383,0.47826086956521746,1,RG-AP820-L(V3),RG-WS6008,65403000.0,0.0238969477451039
RG-WS6008,RG-AP820-L(V3),3.950008801267383,0.47826086956521746,1,RG-AP820-L(V3),RG-WS6008,570805882.95,0.2085610500658084
RG-ES208GC,RG-ES209GC-P,3.7777777777777777,0.3055555555555556,1,RG-ES209GC-P,RG-ES208GC,222009977.01,0.0811180040594421
RG-AP820-L(V3),RG-E130(GE),3.503864556496136,0.3400809716599191,2,"RG-E130(GE), RG-E130(GE)",RG-AP820-L(V3),8055917881.06,2.943471226740964
RG-E130(GE),RG-AP820-L(V3),3.5038645564961355,0.42424242424242425,1,RG-AP820-L(V3),RG-E130(GE),779165528.0382457,0.2846914959300992
RG-E130(GE),RG-AP820-L(V3),3.5038645564961355,0.42424242424242425,1,RG-AP820-L(V3),RG-E130(GE),23636000.0,0.0086361215372884
RG-ES205GC-P,RG-ES209GC-P,3.445603576751118,0.27868852459016397,1,RG-ES209GC-P,RG-ES205GC-P,251037442.14,0.0917240590933769
RG-AP820-L(V2),RG-E130(GE),2.837066315327185,0.2753623188405797,2,"RG-E130(GE), RG-E130(GE)",RG-AP820-L(V2),2278179535.38,0.8324012248817492
RG-NBS3100-24GT4SFP-P,RG-RAP2260(G),2.8033826638477795,0.23636363636363633,1,RG-RAP2260(G),RG-NBS3100-24GT4SFP-P,1087068585.2,0.3971931130967765
RG-CS83-24GT4XS-P,RG-AP820-L(V3),2.6720647773279356,0.3235294117647059,1,RG-AP820-L(V3),RG-CS83-24GT4XS-P,1258521619.0,0.4598386215514061
RG-RAP1200 (F),RG-RAP2260(G),2.6093023255813956,0.22000000000000003,1,RG-RAP2260(G),RG-RAP1200 (F),558893140.85,0.2042083724292382
