support,itemsets,length
0.12107843137254902,RG-AP820-L(V3),1
0.09705882352941177,RG-E130(GE),1
0.08431372549019608,RG-RAP2260(G),1
0.08088235294117647,RG-ES209GC-P,1
0.07941176470588235,RG-RAP2200E,1
0.07549019607843137,RG-E120(GE),1
0.062254901960784315,RG-AP720-L,1
0.061274509803921566,RG-RAP2200(F),1
0.061274509803921566,RG-EW1200G-PRO,1
0.04803921568627451,RG-POE-AF15,1
0.04607843137254902,RG-POE-AT30,1
0.043137254901960784,RG-EW1200,1
0.04215686274509804,RG-RAP6262(G),1
0.041176470588235294,"RG-AP820-L(V3), RG-E130(GE)",2
0.03872549019607843,RG-NBS3100-24GT4SFP-P V2,1
0.033823529411764704,RG-AP820-L(V2),1
0.03235294117647059,XG-SFP-LR-SM1310,1
0.031862745098039214,RG-ES220GS-P,1
0.03137254901960784,RG-ES218GC-P,1
0.029901960784313727,RG-ES205GC-P,1
0.029411764705882353,"RG-EW1200, RG-EW1200G-PRO",2
0.02696078431372549,RG-EW300N,1
0.02696078431372549,RG-AP840-L,1
0.02696078431372549,RG-NBS3100-24GT4SFP-P,1
0.024509803921568627,RG-RAP1200 (F),1
0.024019607843137256,RG-ES210GS-P,1
0.022549019607843137,XG-SFP-SR-MM850,1
0.022549019607843137,"RG-AP720-L, RG-E120(GE)",2
0.022549019607843137,MINI-GBIC-LX-SM1310,1
0.022549019607843137,RG-ES226GC-P,1
0.020098039215686276,RG-NBS3100-8GT2SFP-P V2,1
0.01911764705882353,"RG-POE-AF15, RG-RAP2200(F)",2
0.01911764705882353,"RG-E120(GE), RG-RAP2200E",2
0.018627450980392157,RG-ES108GD,1
0.01764705882352941,RG-ES206GC-P,1
0.01764705882352941,RG-ES208GC,1
0.01715686274509804,RG-ES216GC,1
0.016666666666666666,SG2218P,1
0.016666666666666666,RG-CS83-24GT4XS-P,1
0.016176470588235296,RG-EG105GW (T),1
0.016176470588235296,RG-ES228GS-P,1
0.01568627450980392,02170477.HWA-01ideashare Key,1
0.01568627450980392,RG-EG105G (V3),1
0.01568627450980392,"RG-ES209GC-P, RG-RAP2200E",2
0.01568627450980392,"02170477.HWA-01ideashare Key, 23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL",2
0.01568627450980392,"23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL",1
0.015196078431372549,RG-RAP2266,1
0.014705882352941176,RG-PA150IB-F,1
0.014705882352941176,"RG-AP820-L(V3), RG-ES209GC-P",2
0.014215686274509804,RG-AP810-L,1
0.014215686274509804,RG-NBS3200-24GT4XS-P,1
0.013235294117647059,EAP613,1
0.013235294117647059,RG-RAP52-OD,1
0.013235294117647059,"RG-EW1200G-PRO, RG-RAP2200E",2
0.013235294117647059,RG-AP680-L,1
0.012745098039215686,RG-NBS3100-24GT4SFP V2,1
0.012745098039215686,MINI-GBIC-SX-MM850,1
0.012254901960784314,"RG-EW1200G-PRO, RG-EW300N",2
0.012254901960784314,"02170477.HWA-01ideashare Key, 21156005. WB1M0BRACKET01Wall Mount Bracket., 23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL",3
0.012254901960784314,RG-ES206GS-P,1
0.012254901960784314,"21156005. WB1M0BRACKET01Wall Mount Bracket., 23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL",2
0.012254901960784314,21156005. WB1M0BRACKET01Wall Mount Bracket.,1
0.012254901960784314,"RG-ES209GC-P, RG-ES220GS-P",2
0.012254901960784314,"50086871. AP361.AP361 ( 11ax indoor,2+2 dual bands,smart antenna )",1
0.012254901960784314,"02170477.HWA-01ideashare Key, 21156005. WB1M0BRACKET01Wall Mount Bracket.",2
0.012254901960784314,"RG-ES209GC-P, RG-RAP2260(G)",2
0.012254901960784314,RG-ES224GC,1
0.012254901960784314,"RG-POE-AT30, RG-RAP2260(G)",2
0.011764705882352941,RG-PA600I-P-F,1
0.011764705882352941,RG-NBS3200-24GT4XS,1
0.011764705882352941,RG-ES105GD,1
0.011274509803921568,RG-AP180,1
0.011274509803921568,EAP620HD(US),1
0.011274509803921568,ER7212PC,1
0.011274509803921568,RG-WS6008,1
0.011274509803921568,RG-EW1300G,1
0.010784313725490196,"E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;",1
0.010784313725490196,"RG-EW1200, RG-RAP2200E",2
0.010784313725490196,A004700714. B048703. R1510-4L_EC25-AU.,1
0.010294117647058823,RG-AP820-I,1
0.010294117647058823,"RG-AP720-L, RG-ES209GC-P",2
0.010294117647058823,RG-CS86-20XS4VS2QXS-D,1
0.010294117647058823,RG-EG1510XS,1
0.010294117647058823,"RG-POE-AT30, RG-RAP6262(G)",2
0.010294117647058823,"E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, E003203 Wifi",2
0.010294117647058823,E003203 Wifi,1
0.00980392156862745,EAP610-Outdoor,1
0.00980392156862745,EAP653,1
0.00980392156862745,"02170477.HWA-01ideashare Key, 21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches )",2
0.00980392156862745,"02170477.HWA-01ideashare Key, 21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches ), 23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL",3
0.00980392156862745,RG-ES116G-L,1
0.00980392156862745,"RG-EW1200, RG-EW300N",2
0.00980392156862745,"21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches ), 23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL",2
0.00980392156862745,21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches ),1
0.00980392156862745,RG-PA1000I-P-F,1
0.00980392156862745,RG-EST310 V2,1
0.009313725490196078,VIGI NVR4032H,1
0.009313725490196078,"RG-RAP2200E, RG-RAP2260(G)",2
0.009313725490196078,"50087148. AP362EAP362E(11ax indoor, 2+2 dual bands, smart antenna)",1
0.009313725490196078,"E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, S012005 EU Plug Power Supply",2
0.009313725490196078,RG-PA150l-F,1
0.009313725490196078,EAP723,1
0.009313725490196078,"RG-AP820-L(V2), RG-E130(GE)",2
0.009313725490196078,VIGI NVR1016H,1
0.009313725490196078,"21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches ), 21156005. WB1M0BRACKET01Wall Mount Bracket.",2
0.009313725490196078,"21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches ), 21156005. WB1M0BRACKET01Wall Mount Bracket., 23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL",3
0.009313725490196078,"RG-AP820-L(V3), RG-NBS3100-24GT4SFP-P V2",2
0.009313725490196078,"02170477.HWA-01ideashare Key, 21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches ), 21156005. WB1M0BRACKET01Wall Mount Bracket.",3
0.009313725490196078,"02170477.HWA-01ideashare Key, 21155908. WB1M0IDEAHUB07 HUAWEI Ideahub White Rolling Stand II ( 65/75/86 inches ), 21156005. WB1M0BRACKET01Wall Mount Bracket., 23080128. IHC Digital Conference System Components,IHC,IdeaHub,Controller,BULL",4
0.009313725490196078,S012005 EU Plug Power Supply,1
0.008823529411764706,"RG-E120(GE), RG-E130(GE)",2
0.008823529411764706,"RG-AP820-L(V3), RG-ES220GS-P",2
0.008823529411764706,"RG-EW1200G-PRO, RG-RAP2200(F)",2
0.008823529411764706,"E003203 Wifi, S012005 EU Plug Power Supply",2
0.008823529411764706,"RG-POE-AF15, RG-RAP2200E",2
0.008823529411764706,"E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, E003203 Wifi, S012005 EU Plug Power Supply",3
0.008823529411764706,RG-CS83-24GT4XS,1
0.008823529411764706,"RG-ES108GD, RG-EW1200G-PRO",2
0.008823529411764706,RG-EG310GH-P-E,1
0.008823529411764706,"RG-RAP2260(G), RG-RAP6262(G)",2
0.008333333333333333,"RG-E120(GE), RG-RAP2200(F)",2
0.008333333333333333,RG-AP840-I,1
0.008333333333333333,OC200,1
0.008333333333333333,SG2210P,1
0.008333333333333333,SG2428P,1
0.008333333333333333,EAP223,1
0.008333333333333333,"RG-EW1200G-PRO, RG-RAP2260(G)",2
0.008333333333333333,"RG-ES209GC-P, RG-ES218GC-P",2
0.008333333333333333,"RG-E120(GE), RG-EW1200",2
0.008333333333333333,"RG-ES205GC-P, RG-ES209GC-P",2
0.008333333333333333,RG-AP680 (CD ),1
0.008333333333333333,"RG-EW1200, RG-EW1200G-PRO, RG-EW300N",3
0.00784313725490196,"RG-E130(GE), RG-RAP2260(G)",2
0.00784313725490196,"RG-AP720-L, RG-E130(GE)",2
0.00784313725490196,RG-EW3200GX PRO,1
0.00784313725490196,RG-S6120-20XS4VS2QXS,1
0.00784313725490196,ES210GMP,1
0.007352941176470588,"RG-ES220GS-P, RG-RAP2260(G)",2
0.007352941176470588,"A004700714. B048703. R1510-4L_EC25-AU., S012005 EU Plug Power Supply",2
0.007352941176470588,RG-RAP2260,1
0.007352941176470588,OC200(UN),1
0.007352941176470588,RG-SAP825-SP,1
0.007352941176470588,"RG-ES209GC-P, RG-EW1200G-PRO",2
0.007352941176470588,TL-SL1218MP,1
0.007352941176470588,"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, S012005 EU Plug Power Supply",3
0.007352941176470588,RG-NBS3200-24SFP/8GT4XS,1
0.007352941176470588,"RG-ES218GC-P, RG-ES226GC-P",2
0.007352941176470588,"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;",2
0.007352941176470588,"RG-AP180, RG-AP820-L(V3)",2
0.006862745098039216,"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, E003203 Wifi",3
0.006862745098039216,RG-ES08G-L,1
0.006862745098039216,"RG-ES209GC-P, RG-RAP2200(F)",2
0.006862745098039216,"A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi",2
0.006862745098039216,"A004700714. B048703. R1510-4L_EC25-AU., E003168 4G Cellular Rubber Antenna 824-960MHz,1710-2400MHz;, E003203 Wifi, S012005 EU Plug Power Supply",4
0.006862745098039216,RG-AP880-AR,1
0.006862745098039216,"RG-NBS3100-24GT4SFP-P V2, RG-NBS3100-8GT2SFP-P V2",2
0.006862745098039216,RG-S2915-24GT4MS-P-L,1
0.006862745098039216,"98012471. S220S-8P4J S220S-8P4J ( 8*/10/100/1000BASE-T ports ( 128 W PoE+ ), 4*2.5GE SFP ports,built-in AC power, Fanless )",1
0.006862745098039216,RG-LIC-WS-128,1
0.006862745098039216,RG-EW3000GX PRO,1
0.006862745098039216,ER7206,1
0.006862745098039216,"A004700714. B048703. R1510-4L_EC25-AU., E003203 Wifi, S012005 EU Plug Power Supply",3
0.006372549019607843,RG-NBS3200-48GT4XS,1
0.006372549019607843,RG-NBS3200-48GT4XS-P,1
0.006372549019607843,RG-S5000-24GT4MS-P-E,1
0.006372549019607843,RG-AirMetro550G-B,1
0.006372549019607843,"RG-NBS3100-24GT4SFP-P, RG-RAP2260(G)",2
0.006372549019607843,"RG-EG105GW (T), RG-EW1200G-PRO",2
0.006372549019607843,RG-ES205GC,1
0.006372549019607843,RG-EST100-E,1
0.006372549019607843,"RG-EW1200G-PRO, RG-EW1300G",2
0.006372549019607843,"RG-AP720-L, RG-RAP2200E",2
0.006372549019607843,"EAP620HD(US), ER7212PC",2
0.006372549019607843,RG-RAP2260(E),1
0.006372549019607843,RG-EW3000GX,1
0.006372549019607843,RG-S5300-24GT4XS-P-E,1
0.006372549019607843,SG3428XMP,1
0.006372549019607843,RG-EW1800GX PRO,1
0.006372549019607843,"RG-ES209GC-P, RG-ES228GS-P",2
0.006372549019607843,RG-NBS3100-8GT2SFP-P,1
0.006372549019607843,"RG-RAP2200(F), RG-RAP2200E",2
0.006372549019607843,EAP110,1
