id,no,name,item_type,item_category_id,item_category_name,avg_cost,unit_price,unit,upc_no
5350,RENT-095,(INT) 24x7x4 Golden AHR Service_Switch,INVENTORY,,,0,0.0,,
32400,RENT-148,"(INT)9x5x15CD-S Basic RFR Service. Basic warranty servvice and the content : Remote technical support,online self-help-support,software updates ( up to EOO+2years), Hardware RFR service(within warranty period is free )",NON_INVENTORY,,,0,0.0,,
19256,Huawei-023,(SKU Dummy) Board2 86+OPS I5 50K. IdeaHub Board 2-86. ICD OPS i5 D_2. IdeaHub Wall Mount Bracket_2. IdeaHub Controller_2. IdeaShare Key ( Type-C )_2. IdeaHub White Rolling Stand II_2,INVENTORY,,,0,0.0,,
19354,Huawei-022,(SKU Dummy) S2 65+ OPS I5 50K. ICD OPS i5 D_1. IdeaHub Wall Mount  Bracket_1. IdeaShare Key ( Type-C)_1. IdeaHub Controller_1. IdeaHub White Rolling Stand II_1. IdeaHub S2-65,INVENTORY,,,0,0.0,,
19156,Huawei-021,"(SKU Dummy) S2 86+OPS I5 50K. IdeaShare Key ( Type-C ) , IdeaHub Wall Mount Bracket. IdeaHub Controller. ICD OPS i5 D. IdeaHub White Rolling Stand II . IdeaHub S2-86",INVENTORY,,,0,0.0,,
34055,Group-042,- Huawei Ideahub S2 Ops Module + Extended Warranty 3 Y,GROUP,,,0,54255000.0,,
2051,SonicWall-016,01-SCC-6118 . FireWall SSL VPN 1000 User License,INVENTORY,,,0,0.0,,
7800,SonicWall-061,01-SSC-0019. SonicWall High-End NSA NSSP Series FRU Power Supply,INVENTORY,,,0,0.0,,
8052,SonicWall-062,01-SSC-0488 COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ500 SERIES 1YR,INVENTORY,,,0,0.0,,
12250,SonicWall-074,01-SSC-0567 COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ400 SERIES 1YR,INVENTORY,,,0,0.0,,
2004,SonicWall-029,01-SSC-1480 . Advanced Gateway Security Suite Bundle For NSA 3600 1YR,INVENTORY,,,0,0.0,,
4353,SonicWall-039,01-SSC-1490 . Advanced Gateway Security Suite Bundle For NSA 4600 1YR,INVENTORY,,,0,0.0,,
1052,SonicWall-005,01-SSC-1550 . Advanced Gateway Security Suite Bundle For NSA 5600 1YR,INVENTORY,,,0,0.0,,
12901,SonicWall-077,01-SSC-1560 ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR NSA 6600 1YR,INVENTORY,,,0,0.0,,
604,SonicWall-003,01-SSC-1783 . Advanced gateway security suite bundle for NSA 2650 1YR,INVENTORY,,,0,0.0,,
11706,SonicWall-073,01-SSC-1964 COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR NSA 2650 1YR,INVENTORY,,,0,0.0,,
6854,SonicWall-060,01-SSC-2347. 24x7 Support For SMA 7200/7210 250 user 1YR - Stackable,INVENTORY,,,0,0.0,,
11801,SonicWall-071,01-SSC-3493 ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR NSA 4650 1YR,INVENTORY,,,0,0.0,,
17100,SonicWall-086,01-SSC-4405. Comprehensive Gateway Security Suite For NSA 4600 1 YR,INVENTORY,,,0,0.0,,
4307,SonicWall-040,01-SSC-4423. Comprehensive Anti-Spam Service for NSA 4600 ( 1YR ),INVENTORY,,,0,0.0,,
34700,SonicWall-144,01-SSC-5314. SNWL LBL VPN Client Win 100LIC,INVENTORY,,,0,0.0,,
30851,SonicWall-125,01-SSC-6111. Firewall SSL VPN 15 User License,INVENTORY,,,0,0.0,,
1401,SonicWall-008,01-SSC-6112 . Firewall SSL VPN 100 User License,INVENTORY,,,0,0.0,,
17902,SonicWall-098,"01-SSC-6801. Support Reinstatement For TZ400/470,TZ500/570, TZ600/670, NSv10/25/50/100, SMA 200/210(Series), SWS14(Series)",INVENTORY,,,0,0.0,,
603,SonicWall-002,"01-SSC-6802 . Support Reinstatement for NSA 2600/2650/2700,NSv 200/270,SMA 400/410 , SMA 500",INVENTORY,,,0,0.0,,
2105,SonicWall-030,"01-SSC-6803 . Support Reinstatement For NSA 3600/3650/3700, NSv 300",INVENTORY,,,0,0.0,,
26051,SonicWall-116,01-SSC-8630. SonicWall Firewall SSL VPN 5 User License,INVENTORY,,,0,0.0,,
20353,SonicWall-108,01-SSC-8631. Firewall SSL VPN 10 User License,INVENTORY,,,0,0.0,,
9750,SonicWall-067,01-SSC-8633 FIREWALL SSL VPN 50 USER LICENSE,INVENTORY,,,0,0.0,,
2150,SonicWall-018,01-SSC-9785 . 10GB-SR SFP+ Short Reach Fiber Module Multi-Mode No Cable,INVENTORY,,,0,0.0,,
