customer_id,last_purchase_date,monetary,frequency,avg_transaction_value,recency,r_score,f_score,m_score,rfm_score_str,rfm_score,rfm_segment,avg_order_value,monetary_rank,frequency_rank,recency_rank,value_tier
50,2025-12-06,812718942.55,111,7321792.275225225,-340,5,5,5,555,5.0,Champions,7321792.28,91.52,98.65,96.44,Platinum
51,2025-11-03,191026468.50714284,15,12735097.90047619,-307,5,5,4,554,4.6,Champions,12735097.9,78.26,81.57,88.51,Platinum
101,2025-07-08,2006847906.0,46,43627128.39130435,-189,4,5,5,455,4.75,Champions,43627128.39,96.19,93.43,73.28,Platinum
102,2025-03-02,114642790.0,26,4409338.076923077,-61,4,5,4,454,4.35,Champions,4409338.08,71.62,89.31,59.71,Gold
150,2025-01-07,1926170611.66,67,28748815.099402986,-7,3,5,5,355,4.5,Loyal Customers,28748815.1,95.7,96.19,55.65,Platinum
151,2025-04-11,10237643546.369999,30,341254784.87899995,-101,4,5,5,455,4.75,Champions,341254784.88,99.88,90.42,64.56,Platinum
152,,45862747.0,8,5732843.375,719,2,4,3,243,3.1,Need Attention,5732843.38,55.04,68.61,18.12,Gold
200,2025-09-04,232513011.73,75,3100173.4897333332,-247,4,5,5,455,4.75,Champions,3100173.49,80.59,97.3,79.42,Platinum
201,2023-06-11,115642000.0,4,28910500.0,569,2,3,4,234,3.15,Need Attention,28910500.0,71.87,50.86,36.98,Gold
204,,3715200.0,2,1857600.0,719,2,1,1,211,1.25,About To Sleep,1857600.0,15.72,27.7,18.12,Bronze
205,2024-08-11,58437781.0,11,5312525.545454546,142,3,4,3,343,3.35,Loyal Customers,5312525.55,59.58,76.54,49.94,Gold
252,2023-03-11,8350000.0,1,8350000.0,661,2,1,2,212,1.65,About To Sleep,8350000.0,27.52,9.58,36.36,Silver
300,,3550000.0,1,3550000.0,719,2,1,1,211,1.25,About To Sleep,3550000.0,15.48,9.58,18.12,Bronze
305,,710000.0,1,710000.0,719,2,1,1,211,1.25,About To Sleep,710000.0,2.83,9.58,18.12,Bronze
