customer_id,preferred_day_of_week,weekend_purchase_ratio,weekend_spending_ratio,q1.0_count,q2.0_count,q3.0_count,q4.0_count,seasonal_variation,preferred_quarter,first_purchase_date,last_purchase_date,total_transactions,customer_tenure_days,recency_days,active_period_days,purchase_velocity,lifecycle_stage,expected_days_to_purchase,days_overdue,churn_risk
50,Monday,0.135,0.183,9,6,12,14,0.296,4.0,2023-04-12,2025-12-06,41,974.0,5.0,969.0,1.263,Veteran,24.225,-19.225,Active
51,Monday,0.067,0.106,3,5,0,3,0.649,2.0,2023-05-12,2025-11-03,11,944.0,38.0,906.0,0.35,Veteran,90.6,-52.599999999999994,Active
101,Sunday,0.391,0.338,0,1,2,18,1.409,4.0,2023-11-12,2025-07-08,21,760.0,156.0,604.0,0.829,Veteran,30.2,125.8,Churned
102,Saturday,0.346,0.293,4,5,3,4,0.177,2.0,2023-03-11,2025-03-02,16,1006.0,284.0,722.0,0.477,Veteran,48.13333333333333,235.86666666666667,Churned
150,Sunday,0.179,0.269,8,4,7,1,0.548,1.0,2023-04-12,2025-01-07,20,974.0,338.0,636.0,0.616,Veteran,33.473684210526315,304.5263157894737,Churned
151,Monday,0.0,0.0,2,1,0,0,1.106,1.0,2024-01-08,2025-04-11,3,703.0,244.0,459.0,0.128,Veteran,229.5,14.5,At Risk
200,Wednesday,0.147,0.127,3,10,2,13,0.662,4.0,2023-12-12,2025-09-04,28,730.0,98.0,632.0,1.151,Veteran,23.40740740740741,74.5925925925926,Churned
201,Sunday,0.75,0.935,0,3,0,0,1.732,2.0,2023-06-11,2023-06-11,3,914.0,914.0,0.0,0.098,Veteran,0.0,914.0,Churned
205,Sunday,0.273,0.18,1,0,3,0,1.225,3.0,2024-03-01,2024-08-11,4,650.0,487.0,163.0,0.185,Veteran,54.333333333333336,432.6666666666667,Churned
252,Saturday,1.0,1.0,1,0,0,0,1.732,1.0,2023-03-11,2023-03-11,1,1006.0,1006.0,0.0,0.03,Veteran,365.0,641.0,Churned
310,Monday,0.048,0.042,6,8,9,13,0.283,4.0,2023-07-12,2025-12-09,36,883.0,2.0,881.0,1.223,Veteran,25.17142857142857,-23.17142857142857,Active
311,Saturday,0.115,0.065,4,8,8,7,0.243,2.0,2023-01-12,2025-10-07,27,1064.0,65.0,999.0,0.761,Veteran,38.42307692307692,26.57692307692308,At Risk
314,Sunday,0.143,0.476,5,9,5,10,0.314,4.0,2024-02-12,2025-12-02,29,668.0,9.0,659.0,1.302,Veteran,23.535714285714285,-14.535714285714285,Active
316,Friday,0.124,0.131,10,13,16,12,0.17,3.0,2025-01-08,2025-12-09,51,337.0,2.0,335.0,4.54,Mature,6.7,-4.7,Active
317,Friday,0.0,0.0,0,0,1,0,1.732,3.0,2025-09-05,2025-09-05,1,97.0,97.0,0.0,0.309,Established,365.0,-268.0,Active
318,Tuesday,0.107,0.075,9,8,4,9,0.275,1.0,2023-04-12,2025-11-08,30,974.0,33.0,941.0,0.924,Veteran,32.44827586206897,0.551724137931032,At Risk
325,Tuesday,0.06,0.039,10,0,9,7,0.601,1.0,2023-07-11,2025-10-04,26,884.0,68.0,816.0,0.882,Veteran,32.64,35.36,Dormant
327,Sunday,0.099,0.124,1,13,5,11,0.636,2.0,2024-04-10,2025-11-03,30,610.0,38.0,572.0,1.475,Veteran,19.724137931034484,18.275862068965516,At Risk
