customer_id,last_purchase_date,monetary,frequency,avg_transaction_value,recency,r_score,f_score,m_score,rfm_score_str,rfm_score,rfm_segment,avg_order_value,monetary_rank,frequency_rank,recency_rank,value_tier,avg_days_between_purchases,purchase_consistency,days_since_first_purchase,purchase_span_days,unique_products_bought,unique_categories_bought,preferred_category,category_concentration,product_diversity_level,transaction_value_std,min_transaction_value,max_transaction_value,total_spending,transaction_count,spending_volatility,spending_trend,trend_direction,engagement_score,loyalty_indicator,preferred_day_of_week,weekend_purchase_ratio,weekend_spending_ratio,q1.0_count,q2.0_count,q3.0_count,q4.0_count,seasonal_variation,preferred_quarter,first_purchase_date,total_transactions,customer_tenure_days,recency_days,active_period_days,purchase_velocity,lifecycle_stage,expected_days_to_purchase,days_overdue,churn_risk
50,2025-12-06,812718942.55,111,7321792.275225225,-340,5,5,5,555,5.0,Champions,7321792.28,91.52,98.65,96.44,Platinum,,0.0,243.0,-579.0,63,,,,High,9400101.048157416,617117.19,76300000.0,812718942.55,111,1.284,-0.064,Stable,66.35,Medium,Monday,0.135,0.183,9.0,6.0,12.0,14.0,0.296,4.0,2023-04-12,41.0,974.0,5.0,969.0,1.263,Veteran,24.225,-19.225,Active
51,2025-11-03,191026468.50714284,15,12735097.90047619,-307,5,5,4,554,4.6,Champions,12735097.9,78.26,81.57,88.51,Platinum,,0.0,944.0,,14,,,,High,13926092.648474688,1525542.857142857,46500000.0,191026468.50714284,15,1.094,-0.86,Declining,57.54,Medium,Monday,0.067,0.106,3.0,5.0,0.0,3.0,0.649,2.0,2023-05-12,11.0,944.0,38.0,906.0,0.35,Veteran,90.6,-52.599999999999994,Active
101,2025-07-08,2006847906.0,46,43627128.39130435,-189,4,5,5,455,4.75,Champions,43627128.39,96.19,93.43,73.28,Platinum,,0.0,156.0,,43,,,,High,59891096.83169483,0.0,334729157.84,2006847906.0,46,1.373,0.754,Growing,67.72,Medium,Sunday,0.391,0.338,0.0,1.0,2.0,18.0,1.409,4.0,2023-11-12,21.0,760.0,156.0,604.0,0.829,Veteran,30.2,125.8,Churned
102,2025-03-02,114642790.0,26,4409338.076923077,-61,4,5,4,454,4.35,Champions,4409338.08,71.62,89.31,59.71,Gold,,0.0,,,12,,,,High,3765053.4880779786,910000.0,14640000.0,114642790.0,26,0.854,0.155,Growing,54.19,Medium,Saturday,0.346,0.293,4.0,5.0,3.0,4.0,0.177,2.0,2023-03-11,16.0,1006.0,284.0,722.0,0.477,Veteran,48.13333333333333,235.86666666666667,Churned
150,2025-01-07,1926170611.66,67,28748815.099402986,-7,3,5,5,355,4.5,Loyal Customers,28748815.1,95.7,96.19,55.65,Platinum,,0.0,,,43,,,,High,48681823.5138667,0.0,250800000.0,1926170611.66,67,1.693,0.178,Growing,67.52,Medium,Sunday,0.179,0.269,8.0,4.0,7.0,1.0,0.548,1.0,2023-04-12,20.0,974.0,338.0,636.0,0.616,Veteran,33.473684210526315,304.5263157894737,Churned
151,2025-04-11,10237643546.369999,30,341254784.87899995,-101,4,5,5,455,4.75,Champions,341254784.88,99.88,90.42,64.56,Platinum,,1.0,,,23,,,,High,522528269.6583452,0.0,2371578951.87,10237643546.369999,30,1.531,0.139,Growing,97.94,High,Monday,0.0,0.0,2.0,1.0,0.0,0.0,1.106,1.0,2024-01-08,3.0,703.0,244.0,459.0,0.128,Veteran,229.5,14.5,At Risk
152,,45862747.0,8,5732843.375,719,2,4,3,243,3.1,Need Attention,5732843.38,55.04,68.61,18.12,Gold,,,,,7,,,,Medium,8637623.156096771,649484.0,26448000.0,45862747.0,8,1.507,1.155,Growing,43.76,Medium,,,,,,,,,,,,,,,,,,,
200,2025-09-04,232513011.73,75,3100173.4897333332,-247,4,5,5,455,4.75,Champions,3100173.49,80.59,97.3,79.42,Platinum,,0.0,,,36,,,,High,2437013.3928663055,257656.0,11400000.0,232513011.73,75,0.786,0.224,Growing,61.06,Medium,Wednesday,0.147,0.127,3.0,10.0,2.0,13.0,0.662,4.0,2023-12-12,28.0,730.0,98.0,632.0,1.151,Veteran,23.40740740740741,74.5925925925926,Churned
201,2023-06-11,115642000.0,4,28910500.0,569,2,3,4,234,3.15,Need Attention,28910500.0,71.87,50.86,36.98,Gold,,1.0,,,3,,,,Low,31587969.49789587,7506000.0,75660000.0,115642000.0,4,1.093,-0.791,Declining,72.83,High,Sunday,0.75,0.935,0.0,3.0,0.0,0.0,1.732,2.0,2023-06-11,3.0,914.0,914.0,0.0,0.098,Veteran,0.0,914.0,Churned
204,,3715200.0,2,1857600.0,719,2,1,1,211,1.25,About To Sleep,1857600.0,15.72,27.7,18.12,Bronze,,,,,2,,,,Low,904530.9944938316,1218000.0,2497200.0,3715200.0,2,0.487,1.05,Growing,15.87,Medium,,,,,,,,,,,,,,,,,,,
205,2024-08-11,58437781.0,11,5312525.545454546,142,3,4,3,343,3.35,Loyal Customers,5312525.55,59.58,76.54,49.94,Gold,,0.0,,,10,,,,Medium,6211224.5457343,640000.0,22680000.0,58437781.0,11,1.169,1.317,Growing,48.21,Medium,Sunday,0.273,0.18,1.0,0.0,3.0,0.0,1.225,3.0,2024-03-01,4.0,650.0,487.0,163.0,0.185,Veteran,54.333333333333336,432.6666666666667,Churned
252,2023-03-11,8350000.0,1,8350000.0,661,2,1,2,212,1.65,About To Sleep,8350000.0,27.52,9.58,36.36,Silver,,,1006.0,0.0,1,,,,Low,0.0,8350000.0,8350000.0,8350000.0,1,0.0,0.0,Stable,14.34,Low,Saturday,1.0,1.0,1.0,0.0,0.0,0.0,1.732,1.0,2023-03-11,1.0,1006.0,1006.0,0.0,0.03,Veteran,365.0,641.0,Churned
300,,3550000.0,1,3550000.0,719,2,1,1,211,1.25,About To Sleep,3550000.0,15.48,9.58,18.12,Bronze,,,,0.0,1,,,,Low,0.0,3550000.0,3550000.0,3550000.0,1,0.0,0.0,Stable,9.53,Low,,,,,,,,,,,,,,,,,,,
305,,710000.0,1,710000.0,719,2,1,1,211,1.25,About To Sleep,710000.0,2.83,9.58,18.12,Bronze,,,,0.0,1,,,,Low,0.0,710000.0,710000.0,710000.0,1,0.0,0.0,Stable,4.47,Low,,,,,,,,,,,,,,,,,,,
310,2025-12-09,428255825.9167347,125,3426046.6073338776,-343,5,5,5,555,5.0,Champions,3426046.61,86.49,98.77,97.97,Platinum,,0.0,60.0,,40,,,,High,3212920.9434447596,284163.0,21080000.0,428255825.9167347,125,0.938,-0.016,Stable,63.62,Medium,Monday,0.048,0.042,6.0,8.0,9.0,13.0,0.283,4.0,2023-07-12,36.0,883.0,2.0,881.0,1.223,Veteran,25.17142857142857,-23.17142857142857,Active
311,2025-10-07,1720740321.66,87,19778624.386896554,-280,5,5,5,555,5.0,Champions,19778624.39,95.21,97.79,84.28,Platinum,,0.0,154.0,,42,,,,High,34013751.608690046,489510.0,161927640.0,1720740321.66,87,1.72,-0.453,Declining,67.24,Medium,Saturday,0.115,0.065,4.0,8.0,8.0,7.0,0.243,2.0,2023-01-12,27.0,1064.0,65.0,999.0,0.761,Veteran,38.42307692307692,26.57692307692308,At Risk
314,2025-12-02,1571227960.0,63,24940126.34920635,-336,5,5,5,555,5.0,Champions,24940126.35,94.72,95.33,94.9,Platinum,,0.0,,,16,,,,High,61848509.279612035,230000.0,489800000.0,1571227960.0,63,2.48,-0.603,Declining,64.61,Medium,Sunday,0.143,0.476,5.0,9.0,5.0,10.0,0.314,4.0,2024-02-12,29.0,668.0,9.0,659.0,1.302,Veteran,23.535714285714285,-14.535714285714285,Active
316,2025-12-09,202080360.0,97,2083302.6804123712,-343,5,5,4,554,4.6,Champions,2083302.68,78.75,98.28,97.97,Platinum,,0.0,302.0,,3,,,,Low,2007366.0802230972,300000.0,10150000.0,202080360.0,97,0.964,0.054,Stable,45.58,Medium,Friday,0.124,0.131,10.0,13.0,16.0,12.0,0.17,3.0,2025-01-08,51.0,337.0,2.0,335.0,4.54,Mature,6.7,-4.7,Active
317,2025-09-05,92462000.0,10,9246200.0,-248,5,4,4,544,4.25,Champions,9246200.0,67.81,74.32,79.91,Gold,,,,,7,,,,Medium,20948196.330737192,1600000.0,68850000.0,92462000.0,10,2.266,-0.832,Declining,48.87,Medium,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.732,3.0,2025-09-05,1.0,97.0,97.0,0.0,0.309,Established,365.0,-268.0,Active
