rfm_segment,customer_count,recency_mean,recency_median,frequency_mean,frequency_median,frequency_sum,monetary_mean,monetary_median,monetary_sum,avg_order_value_mean,rfm_score_mean,customer_pct,revenue_pct
Champions,161,-251.92,-280.0,44.43,25.0,7153,1017556682.42,319101100.0,163826625870.36,29665979.79,4.66,19.78,59.86
Loyal Customers,149,-19.54,-12.0,11.7,8.0,1743,487763326.17,62322500.0,72676735599.13,51423570.39,3.77,18.3,26.55
Need Attention,105,608.34,719.0,5.7,4.0,598,157063421.92,46420000.0,16491659302.06,24298130.59,2.87,12.9,6.03
Other,73,629.79,719.0,2.86,3.0,209,172701608.92,15884000.0,12607217451.09,95568304.75,2.18,8.97,4.61
At Risk,37,719.0,719.0,5.68,5.0,210,81650339.26,61410000.0,3021062552.69,15870095.88,2.9,4.55,1.1
Promising,66,105.56,133.5,1.79,2.0,118,40827076.14,11500000.0,2694587025.35,25888334.25,2.23,8.11,0.98
Potential Loyalist,55,-208.76,-217.0,4.16,3.0,229,29036363.0,12293000.0,1596999964.86,10336781.33,2.98,6.76,0.58
Hibernating,78,719.0,719.0,1.37,1.0,107,4797569.78,3337516.7,374210443.01,3568587.76,1.26,9.58,0.14
About To Sleep,51,668.92,719.0,1.35,1.0,69,4702489.79,3352369.0,239826979.28,4235293.65,1.44,6.27,0.09
Recent Customers,39,-190.46,-183.0,1.33,1.0,52,4070435.09,2699000.0,158746968.54,3546344.49,2.04,4.79,0.06
