product_id,product_code,product_name,total_quantity_sold,total_revenue,order_count,unique_customers,avg_price,product_category,revenue_contribution_pct
1000,Sangfor-001,"PM-58-1Y . 5800-F-I, Premium bundle ( 30 SSL license , site-to-site IPsec VPN, FW,BM,URL filtering , Application control , IPS , email security , Risk assessment, security Visibility , basic security reporter , engine zero , neural-X )1year",4,637625918.0,4,2,159406479.5,,0.2329757540689254
10000,EnGenius-001,ECS1552,2,15120000.0,2,1,7560000.0,,0.005524545508707118
10050,RSMB-205,RG-NBR6205-E,1,5338000.0,1,1,5338000.0,,0.001950398407769748
10100,RENT-115,RG-AP680-AR,10,165000000.0,1,1,16500000.0,,0.0602876990037483
10150,TPLK-115,EAP115,61,23852152.0,2,2,391018.8852459016,,0.008715099153743352
10200,Umum-064,Daikin Air Conditioner 2PK,4,25992272.0,1,1,6498068.0,,0.009497056186421545
10250,TPLK-116,POE2412G,1,110811.0,1,1,110811.0,,4.048812251093547e-05
10303,TPLK-117,EAP 615-Wall,9,10054054.0,3,3,1117117.111111111,,0.003673550189814737
10350,One-010,BYA-BAL-PS-247 ONE IDENTITY SYSLOG-NG PREMIUM EDITION SERVER PER LSH 24X7 MAINTENANCE RENEWAL Start Date: 1/5/2024 End Date: 30/4/2025,25,15900000.0,1,1,636000.0,,0.005809541903997564
10351,TLTO-026,PR5MEC11 (Bracket Mounting Dinrail TRB245),26,1860000.0,4,4,71538.46153846153,,0.0006796067887695264
10400,SonicWall-069,02-SSC-5559 ADVANCE PROTECTION SERVICE SUITE FOR TZ570 1YR,1,26320000.0,1,1,26320000.0,,0.00961680144108276
10450,RSMB-207,RG-EW300 PRO,90,16382684.0,17,9,182029.8222222222,,0.005985904981003171
1050,RENT-004,RG-AP880-AR,138,937227222.0,19,14,6791501.608695652,,0.342444076715486
10500,RENT-116,RG-LIC-WS-16,3,20846216.0,3,3,6948738.666666667,,0.007616790276212861
1052,SonicWall-005,01-SSC-1550 . Advanced Gateway Security Suite Bundle For NSA 5600 1YR,1,101500000.0,1,1,101500000.0,,0.03708606938715426
1053,RSMB-133,RG-AP810-L,1491,2113390532.85,45,18,1417431.611569416,,0.7721906201323153
1054,TPLK-060,ER7212PC,48,102895000.0,13,4,2143645.833333333,,0.0375957744787314
10550,RENT-117,RG-RSR30-XA-24,2,86000000.0,1,1,43000000.0,,0.03142267948074154
10650,One-011,BAB-BAL-KS-247 ONE IDENTITY SAFEGUARD SESSIONS APPLIANCE 3000 BUNDLE 24X7 MAINTENANCE RENEWAL PACK Start Date: 16/2/2024 End Date: 15/2/2025,2,75900000.0,1,1,37950000.0,,0.02773234154172421
10700,One-012,BZE-BAL-KS-247 ONE IDENTITY SAFEGUARD PRIVILEGED SECURITY BUNDLE PER SYSTEM 24X7 MAINTENANCE RENEWAL PACK Start Date: 16/2/2024 End Date: 15/2/2025,100,37100000.0,1,1,371000.0,,0.01355559777599431
10701,One-013,SFA-SFG-KS-247 SAFEGUARD APPLIANCE 2000 SERIES BUNDLE 24X7 MAINTENANCE RENEWAL PACK Start Date: 16/2/2024 End Date: 31/7/2024,3,42000000.0,1,1,14000000.0,,0.01534595974640866
10750,Quest-043,SPI-FOG-PB FOGLIGHT FOR SQL SERVER SQL PERFORMANCE INVESTIGATOR EDITION PER NAMED INSTANCE LICENSE/24X7 MAINT,6,282021600.0,2,2,47003600.0,,0.1030450505051849
10751,Robustel-116,B056713 R1520-4L (V),100,327891700.0,11,7,3278917.0,,0.1198050673662263
10800,Robustel-113,Y003002 RCMS Advance (Robustlink Remote control + RVPN),5520,189978000.0,9,7,34416.30434782609,,0.0694141604929339
10850,Robustel-114,S012005 EU Plug Power Supply,380,0.0,19,8,0.0,,0.0
10900,Robustel-115,A007000707. B070714 R2011-A-4L-A24EU,273,660850000.0,7,4,2420695.970695971,,0.241461369009861
10950,TPLK-118,TL-SL1218MP,10,16576387.0,9,4,1657638.7,,0.006056680181973614
1100,SATA-001,Add On SSD,2,3312400.0,1,1,1656200.0,,0.001210284692000096
11001,TPLK-119,VIGI C220I(4MM),13,4508500.0,2,2,346807.6923076923,,0.001647315702778177
11002,GIGA-015,Components : RAM 64GB DDR4 3200MHz ECC RDIMM,4,0.0,1,1,0.0,,0.0
11004,RSMB-209,RG-EW3000GX PRO,107,90932381.12,18,8,849835.3375700935,,0.03322487286458597
1101,TLTO-013,RUT956700500,20,65940000.0,3,3,3297000.0,,0.0240931568018616
11100,GIGA-012,E252-P30 rev 100,2,232031250.0,1,1,116015625.0,,0.08477957672402105
11150,GIGA-014,Components : CPU Ampere Altra Q80-30,2,0.0,2,2,0.0,,0.0
11250,GIGA-016,Components : SSD 960GB M.2 PM9A3,2,0.0,1,1,0.0,,0.0
11251,GIGA-017,Components : NIC CLN4B20,1,0.0,1,1,0.0,,0.0
11300,TPLK-120,TL-SG1218MP,3,5640000.0,1,1,1880000.0,,0.002060743165946306
11301,RSMB-212,RG-EG1510XS,46,229865387.45,33,23,4997073.640217391,,0.08398821387857928
11350,TPLK-121,EAP660 HD,101,248078000.0,11,7,2456217.821782178,,0.09064273814213256
11352,RSMB-214,RG-NBS3100-24GT4SFP V2,78,149093901.27,35,18,1911460.272692308,,0.05447592874582017
11353,RSMB-217,RG-CS83-48GT4XS,10,79048162.0,5,4,7904816.2,,0.02888261695427597
11354,RSMB-218,RG-CS83-48GT4XS-P,21,212330796.0,14,10,10110990.28571429,,0.07758142496045022
11401,RSMB-211,RG-ES228GS-P,124,438009072.0,47,25,3532331.225806451,,0.1600397520827098
11450,RSMB-210,RG-ES220GS-P,245,636003316.51,88,48,2595931.904122449,,0.2323828879463063
11451,RSMB-215,RG-NBS3100-8GT2SFP-P V2,179,368908872.16,57,32,2060943.419888268,,0.1347919214823899
11452,RSMB-221,RG-CS85-24SFP/8GT8XS-D,9,139294663.0,7,6,15477184.77777778,,0.05089548312589428
1150,SATA-002,Add On SSD Cache,1,3753400.0,1,1,3753400.0,,0.001371417269337387
11500,RSMB-213,RG-NBS3100-24GT4SFP-P V2,487,1798916910.73,121,62,3693874.560020534,,0.6572882499808667
11501,RSMB-216,RG-CS83-12GT4XS-P,52,220993221.0,13,11,4249869.634615385,,0.08074650175464744
11502,RSMB-220,RG-WS6512-L,4,209222404.0,4,3,52305601.0,,0.07644568071025833
11550,RSMB-219,RG-S2915-48GT4MS-L,4,19324414.41,3,3,4831103.6025,,0.007060754420447129
11551,RSMB-224,RG-WALL 1600-Z3200-S,5,35193855.0,5,5,7038771.0,,0.01285913052740341
11600,TPLK-123,TL-SF1024,11,7920000.0,1,1,720000.0,,0.002893809552179918
11601,RSMB-223,RG-CS85-48GT4XS-D,1,34861000.0,1,1,34861000.0,,0.01273751196951315
11650,TPLK-124,Deco X20(2-pack),1,1700000.0,1,1,1700000.0,,0.0006211459897355885
11700,Quest-044 (Non-Aktif),FFA-FOG-PS-247FOGLIGHT SERVER FORFSM 24X7 MAINTENANCE RENEWAL Start Date: 1/5/2024 End Date: 30/4/2025,1,7310000.0,1,1,7310000.0,,0.002670927755863031
11701,SonicWall-070,02-SSC-6844 SONICWALL TZ270 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,1,13000000.0,1,1,13000000.0,,0.004749939921507441
11702,GIGA-021,Components Per Node : SSD 480GB SATA PM893,8,0.0,1,1,0.0,,0.0
11703,GIGA-023,Components Per Node : RAIDCARD CRA4960,4,0.0,1,1,0.0,,0.0
11706,SonicWall-073,01-SSC-1964 COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR NSA 2650 1YR,3,69716832.0,3,2,23238944.0,,0.0254731356552175
11750,Quest-045,SPI-FOG-PS-247 FOGLIGHT FOR SQL SERVER SQL PERFORMANCE INVESTIGATOR EDITION PER NAMED INSTANCE 24X7 MAINTENANCE RENEWAL Start Date: 1/5/2024 End Date: 30/4/2025,15,123660000.0,1,1,8244000.0,,0.04518289005335464
11751,TPLK-125,LS108G,17,3995000.0,2,2,235000.0,,0.001459693075878633
11752,SonicWall-072,02-SSC-2188 SONICWALL CLOUD APP SECURITY ADVANCED MSSP PROTECT TIER PER USER 1 YR,2772,942480000.0,2,1,340000.0,,0.3443633367094103
11753,TPLK-126,EAP223,55,30526000.0,6,2,555018.1818181818,,0.0111535896956874
11754,RSMB-228,RG-RAP1260,55,55405000.0,3,3,1007363.636363636,,0.02024387856547076
11801,SonicWall-071,01-SSC-3493 ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR NSA 4650 1YR,2,163000000.0,2,1,81500000.0,,0.05955693901582408
11802,Sangfor-088,STS-IAM54-1Y,1,11000000.0,1,1,11000000.0,,0.00401917993358322
11803,GIGA-022,Components Per Node : SSD 1920GB SATA PM893,16,0.0,1,1,0.0,,0.0
11804,GIGA-024,Components Per Node : NIC CLNCD42,4,0.0,1,1,0.0,,0.0
11805,RSMB-229,RG-LIC-WS-16,1,4449000.0,1,1,4449000.0,,0.001625575593137432
11850,Sangfor-087,HRTF-IAM54-1Y,1,11000000.0,1,1,11000000.0,,0.00401917993358322
11851,Sangfor-089,"IOU4-1Y. M5400-AC-I, Software,Sangfor URL Database 1 year License.",2,34062000.0,2,2,17031000.0,,0.01244557335433742
11852,Quest-047,PRO-TOD-PB. Toad For Oracle Professional Edition Per Seat License/Maint.,6,191995650.0,4,4,31999275.0,,0.07015136943775156
11853,GIGA-019,Components Per Node : CPU AMD EPYC 9334,8,0.0,1,1,0.0,,0.0
11854,GIGA-020,Components Per Node : RAM 32GB DDR5 4800MHz PC5-4800 ECC RDIMM,64,0.0,1,1,0.0,,0.0
11855,GIGA-025,"SSD 30.72TB 2.5"" NVME",240,0.0,1,1,0.0,,0.0
11856,EnGenius-002,ECW120,11,12780000.0,2,2,1161818.181818182,,0.004669556322835778
11900,Piolink-003,"M-RTF-PASK Period: 25th June, 2024 - 24th June, 2025",6,93564900.0,1,1,15594150.0,,0.03418674259706551
11950,GIGA-018,H273-Z80 REV AAN1,1,970000000.0,1,1,970000000.0,,0.3544185941432476
12000,GIGA-026,NIC ConnectX5 QSFP28 100Gbe 1 port,20,0.0,1,1,0.0,,0.0
12050,TPLK-127,TL-POE170S,10,5410000.0,1,1,541000.0,,0.00197670576733502
12051,Quest-048,DBF-TOD-TK TOAD FOR ORACLE DBA EDITION PER SEAT TERM LICENSE/MAINT PACK .,4,503299446.5,3,3,125824861.625,,0.1838955487233038
12100,RSMB-230,RG-ES216GC (V2),11,13776000.0,4,3,1252363.636363636,,0.00503347479682204
12101,TPLK-129,TL-MC100CM,12,3280000.0,2,2,273333.3333333333,,0.001198446380195724
12150,RSMB-231,RG-CS85-24GT8XS-D,7,148746184.0,6,6,21249454.85714286,,0.05434887981180704
12200,RSMB-232,TL-SG1024D,4,3440000.0,2,2,860000.0,,0.001256907179229662
12250,SonicWall-074,01-SSC-0567 COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ400 SERIES 1YR,2,23307906.0,2,2,11653953.0,,0.00851624255354945
12251,TPLK-128,TL-SG108,225,56553910.0,9,7,251350.7111111111,,0.02066366729433377
12252,RSMB-234,RG-EG210G-P,27,47520000.0,1,1,1760000.0,,0.01736285731307951
12300,TPLK-130,TL-MC200CM,16,6156000.0,3,3,384750.0,,0.002249279242830754
