customer_id,cluster_id,cluster_label,recency,frequency,monetary,avg_transaction_value,purchase_consistency
50,0,Medium Value,-340,111,812718942.55,7321792.275225225,0.0
51,0,Medium Value,-307,15,191026468.50714284,12735097.90047619,0.0
101,0,Medium Value,-189,46,2006847906.0,43627128.39130435,0.0
102,0,Medium Value,-61,26,114642790.0,4409338.076923077,0.0
150,0,Medium Value,-7,67,1926170611.66,28748815.099402983,0.0
151,0,Medium Value,-101,30,10237643546.37,341254784.87899995,1.0
152,1,Low Value,719,8,45862747.0,5732843.375,0.297
200,0,Medium Value,-247,75,232513011.73,3100173.489733333,0.0
201,1,Low Value,569,4,115642000.0,28910500.0,1.0
204,1,Low Value,719,2,3715200.0,1857600.0,0.297
205,1,Low Value,142,11,58437781.0,5312525.545454546,0.0
252,1,Low Value,661,1,8350000.0,8350000.0,0.297
300,1,Low Value,719,1,3550000.0,3550000.0,0.297
305,1,Low Value,719,1,710000.0,710000.0,0.297
310,0,Medium Value,-343,125,428255825.9167347,3426046.6073338776,0.0
311,0,Medium Value,-280,87,1720740321.66,19778624.386896554,0.0
314,0,Medium Value,-336,63,1571227960.0,24940126.34920635,0.0
316,0,Medium Value,-343,97,202080360.0,2083302.6804123712,0.0
317,0,Medium Value,-248,10,92462000.0,9246200.0,0.297
318,0,Medium Value,-312,84,226027819.0,2690807.369047619,0.0
323,1,Low Value,719,1,4894000.0,4894000.0,0.297
325,0,Medium Value,-277,67,959118747.3471428,14315205.184285711,0.0
327,0,Medium Value,-307,101,405650066.0,4016337.287128713,0.0
329,0,Medium Value,-276,91,1185914000.0,13032021.978021976,0.0
335,0,Medium Value,-275,16,35594045.81,2224627.863125,0.0
336,0,Medium Value,-310,42,208305154.0,4959646.523809524,0.0
339,0,Medium Value,-315,63,291510396.4,4627149.149206349,0.0
342,0,Medium Value,-280,78,1931964671.44,24768777.83897436,0.0
343,0,Medium Value,-247,11,6992613.0,635692.0909090909,0.0
346,0,Medium Value,-128,2,6599560.0,3299780.0,1.0
347,1,Low Value,539,2,7065800.0,3532900.0,1.0
348,0,Medium Value,-343,179,2102925925.101712,11748189.52570789,0.0
355,1,Low Value,719,1,15000000.0,15000000.0,0.297
358,0,Medium Value,-336,131,4122601500.52,31470240.46198473,0.0
359,1,Low Value,719,7,63335000.0,9047857.142857144,0.297
362,0,Medium Value,-340,69,1139945572.0,16520950.31884058,0.0
363,1,Low Value,719,2,1564920.0,782460.0,0.297
367,0,Medium Value,-244,149,4315685228.87,28964330.39510067,0.0
368,0,Medium Value,-285,17,1664455800.0,97909164.70588236,0.0
374,1,Low Value,239,8,47217000.0,5902125.0,0.0
376,0,Medium Value,330,7,72968000.0,10424000.0,1.0
383,0,Medium Value,-343,685,8695509838.74845,12694174.947078029,0.0
390,0,Medium Value,205,21,1242889000.0,59185190.47619048,0.0
391,1,Low Value,719,3,7185000.0,2395000.0,1.0
392,1,Low Value,719,2,260000000.0,130000000.0,0.297
395,0,Medium Value,-132,47,608454457.0,12945839.510638298,0.0
396,0,Medium Value,-345,18,200727000.0,11151500.0,0.0
402,1,Low Value,719,7,32280000.0,4611428.571428572,0.297
403,0,Medium Value,-310,74,2265155141.61,30610204.616351355,0.0
406,0,Medium Value,-343,137,703784534.0,5137113.386861314,0.0
408,0,Medium Value,-280,28,100770092.48,3598931.8742857142,0.0
414,0,Medium Value,-277,67,486804602.0,7265740.328358209,0.0
421,1,Low Value,719,2,33600000.0,16800000.0,0.297
425,0,Medium Value,-315,64,1576883406.23,24638803.22234375,0.0
426,0,Medium Value,-315,5,437050000.0,87410000.0,0.297
428,0,Medium Value,25,7,548286000.0,78326571.42857143,0.297
431,0,Medium Value,-311,179,978228790.0,5464965.30726257,0.0
436,0,Medium Value,-192,3,5650000.0,1883333.3333333333,1.0
437,0,Medium Value,-252,30,471346000.0,15711533.333333334,0.0
